Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
0002586,07/21/2014,0530,12,77th Street,1249,23,M,B,16,Narcotic Drug Laws,M,11357(B)HS,POSSESS 28.5 GRAMS OR MORE OF MARIJUANA,66TH                         ST,FIGUEROA                     ST
100410364,05/12/2010,0900,04,Hollenbeck,0422,17,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,SICHEL,N  MAIN
100410495,05/26/2010,1215,04,Hollenbeck,0424,28,M,H,16,Narcotic Drug Laws,M,11357(B)HS,POSSESS 28.5 GRAMS OR MORE OF MARIJUANA,3500    VALLEY                       BL,
100411412,06/15/2010,1115,04,Hollenbeck,0473,30,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,400 S  SAINT LOUIS                  ST,
100411942,06/29/2010,1400,04,Hollenbeck,0421,19,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,300 S  AVENUE 19,
0017352,12/29/2014,1130,21,Topanga,2138,25,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,20300    COHASSET                     ST,
100413506,08/05/2010,1335,04,Hollenbeck,0466,20,M,H,16,Narcotic Drug Laws,M,11357HS,POSSESSION CANNABIS,2700    NEW JERSEY                   ST,
100413507,08/05/2010,1730,04,Hollenbeck,0477,25,M,H,16,Narcotic Drug Laws,M,11357HS,POSSESSION CANNABIS,OREGON,CAMULOS
100414638,08/31/2010,1205,04,Hollenbeck,0427,19,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,HUNTINGTON                   DR,LOCKE
100415444,09/22/2010,1305,04,Hollenbeck,0412,22,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,2900    PASADENA                     AV,
100418558,12/02/2010,1830,04,Hollenbeck,0463,38,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,2000    MICHIGAN                     AV,
100500510,01/01/2010,0230,05,Harbor,0563,18,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,600 W  11TH                         ST,
100500568,01/10/2010,1850,05,Harbor,0585,18,M,W,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,MEYLER,24TH
100500575,01/11/2010,2230,05,Harbor,0587,19,M,W,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,34TH                         ST,PACIFIC                      AV
100500672,01/26/2010,2255,05,Harbor,0562,18,M,B,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,CABRILLO,10TH
100500687,01/28/2010,1640,05,Harbor,0514,24,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,WILMINGTON,SANDISON
100500690,01/28/2010,1950,05,Harbor,0567,21,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,200 W  16TH                         ST,
100500726,02/02/2010,1950,05,Harbor,0517,25,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,L,EUBANK
100500779,02/11/2010,1500,05,Harbor,0522,21,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,G,BAYVIEW
100500847,02/20/2010,1555,05,Harbor,0517,38,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,M,EUBANK
100500865,03/02/2011,0310,05,Harbor,0585,27,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,21ST,GAFFEY
100500877,02/25/2010,2050,05,Harbor,0557,20,M,W,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,1ST,BANDINI
100500933,03/06/2010,0207,05,Harbor,0587,18,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,2600 S  GAFFEY                       ST,
090716756,03/10/2011,1715,07,Wilshire,0758,22,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,1200    WEST                         BL,
100501156,04/02/2010,1900,05,Harbor,0531,22,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,1300 W  ANAHEIM                      ST,
100501170,04/04/2010,0015,05,Harbor,0529,18,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,BROAD,ANAHEIM
100501176,04/04/2010,1230,05,Harbor,0509,19,M,B,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,MARIGOLD,252ND
100501232,04/13/2010,1700,05,Harbor,0564,44,M,W,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,200 W  6TH                          ST,
100501279,04/21/2010,1140,05,Harbor,0525,31,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,OPP,RONAN
100501385,05/06/2010,2300,05,Harbor,0563,22,M,B,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,14TH,GAFFEY
100501392,05/07/2010,2215,05,Harbor,0529,37,M,W,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,400 N  AVALON                       BL,
100501519,05/21/2010,2230,05,Harbor,0507,21,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,224TH,HALLDALE
100501526,05/22/2010,1910,05,Harbor,0522,34,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,G,GULF
100501529,05/22/2010,1915,05,Harbor,0522,19,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,G,GULF
100501764,06/26/2010,2230,05,Harbor,0567,38,M,H,16,Narcotic Drug Laws,M,11357BHS,POSSESS 28.5 GRAMS OR LESS OF MARIJUANA**,1500 S  PALOS VERDES                 ST,
